algo,totalPopInt,totalInterest,maxInterest,minInterest,budget,startNode,iter
CCKmeans,3.119460842456355,3.000613299269701,0.9439207309513009,0.005234995255398427,163.51700954486938,7,1
ClusterPerDayByInterest,3.0732108475205453,3.0427889894238462,0.9232624496667308,0.00791064425244567,163.51700954486938,7,1
NormalKmeans,3.243943619687565,3.4054133942117737,1.0,0.01497259511301146,163.51700954486938,7,1
ranClusterOnce,2.878601920548192,2.291824797156255,0.669929478001408,0.009126410920679508,163.51700954486938,7,1
CCKmeans,2.0894050412194027,1.710744735585437,0.7599632681766315,0.012293360960189513,131.1032450169192,28,2
ClusterPerDayByInterest,2.0359645972967977,1.7775528868517665,0.8324934877560767,0.003879695154873292,131.1032450169192,28,2
NormalKmeans,2.2335787995434,2.423024330134605,0.9998927380035925,0.023863282765245374,131.1032450169192,28,2
ranClusterOnce,1.9052719580095614,1.0790132545029478,0.7599632681766316,0.0005195639354934298,131.1032450169192,28,2
CCKmeans,2.9212542848083403,2.9432779241957907,0.937347144116892,0.007348904716202253,175.39161295480196,22,3
ClusterPerDayByInterest,2.8514271916671596,2.8534933661123643,0.950654896240734,0.005105099194995464,175.39161295480196,22,3
NormalKmeans,3.080214632813636,3.5441392286081093,1.0,0.0192629706435953,175.39161295480196,22,3
ranClusterOnce,2.686145446248851,2.020769888151982,0.7250481073995882,0.00470432858594724,175.39161295480196,22,3
CCKmeans,2.3516707504730996,2.261162199481531,0.8181684486064414,0.0038053879234233126,142.42489560826084,3,4
ClusterPerDayByInterest,2.183713192336049,2.258293920484112,0.7912738067540616,0.02190420925883116,142.42489560826084,3,4
NormalKmeans,2.4070614109588675,2.4394648467044635,0.8386136618906105,0.004859592067294571,142.42489560826084,3,4
ranClusterOnce,2.1414169256893776,1.3154268016443211,0.69558005405173,0.0036388817570461906,142.42489560826084,3,4
CCKmeans,2.5615259856575645,2.2729763234799485,0.9480633081477621,0.004840324039018427,144.2432965064957,21,5
ClusterPerDayByInterest,2.4742399468493286,2.103537031957149,0.9404879457996158,0.0026972629962128346,144.2432965064957,21,5
NormalKmeans,2.642010951603283,2.6043035706779913,0.9998927380035925,0.006318705238251627,144.2432965064957,21,5
ranClusterOnce,2.3739352269498184,1.6707096620116617,0.7666066487496561,0.003267543707925405,144.2432965064957,21,5
